Day	Session Name	Paper ID	Tentative order in session	Session start time	Paper Awards
Day 1	Language Generation	665	1	10:45	
Day 1	Language Generation	131	2	10:45	
Day 1	Language Generation	551	3	10:45	
Day 1	Language Generation	363	4	10:45	
Day 1	Language Generation	895	5	10:45	
Day 1	Language Generation	744	6	10:45	
Day 1	Summarization	486	1	10:45	
Day 1	Summarization	494	2	10:45	
Day 1	Summarization	1050	3	10:45	
Day 1	Summarization	847	4	10:45	
Day 1	Summarization	608	5	10:45	
Day 1	Summarization	980	6	10:45	
Day 1	Information Extraction	893	1	10:45	
Day 1	Information Extraction	905	2	10:45	
Day 1	Information Extraction	681	3	10:45	
Day 1	Information Extraction	968	4	10:45	
Day 1	Information Extraction	534	5	10:45	
Day 1	Information Extraction	3561-tacl	6	10:45	
Day 1	Efficient Methods in NLP 1	424	1	10:45	
Day 1	Efficient Methods in NLP 1	117	2	10:45	
Day 1	Efficient Methods in NLP 1	750	3	10:45	
Day 1	Efficient Methods in NLP 1	469	4	10:45	
Day 1	Efficient Methods in NLP 1	922	5	10:45	
Day 1	Efficient Methods in NLP 1	817	6	10:45	Award
Day 1	Dialogue	627	1	10:45	
Day 1	Dialogue	618	2	10:45	
Day 1	Dialogue	593	3	10:45	
Day 1	Dialogue	687	4	10:45	
Day 1	Dialogue	3537-tacl	5	10:45	
Day 1	Dialogue	364	6	10:45	
Day 1	Interpretability	666	1	14:30	
Day 1	Interpretability	951	2	14:30	
Day 1	Interpretability	948	3	14:30	
Day 1	Interpretability	944	4	14:30	
Day 1	Interpretability	859	5	14:30	
Day 1	Interpretability	396	6	14:30	
Day 1	Semantics	831	1	14:30	
Day 1	Semantics	827	2	14:30	
Day 1	Semantics	824	3	14:30	
Day 1	Semantics	822	4	14:30	
Day 1	Semantics	797	5	14:30	
Day 1	Semantics	766	6	14:30	
Day 1	Language Resources & Evaluation 1	670	1	14:30	
Day 1	Language Resources & Evaluation 1	954	2	14:30	
Day 1	Language Resources & Evaluation 1	973	3	14:30	
Day 1	Language Resources & Evaluation 1	573	4	14:30	
Day 1	Language Resources & Evaluation 1	475	5	14:30	
Day 1	Language Resources & Evaluation 1	239	6	14:30	
Day 1	Machine Translation 1	945	1	14:30	
Day 1	Machine Translation 1	450	2	14:30	
Day 1	Machine Translation 1	370	3	14:30	
Day 1	Machine Translation 1	289	4	14:30	
Day 1	Machine Translation 1	348	5	14:30	
Day 1	Machine Translation 1	3735-tacl	6	14:30	
Day 1	NLP Applications 1	193	1	14:30	
Day 1	NLP Applications 1	883	2	14:30	
Day 1	NLP Applications 1	777	3	14:30	
Day 1	NLP Applications 1	394	4	14:30	
Day 1	NLP Applications 1	647	5	14:30	
Day 1	NLP Applications 1	779	6	14:30	
Day 1	Best paper	70-special	1	16:30	Award
Day 1	Best paper	90-special	2	16:30	Award
Day 1	Best paper	142	3	16:30	Award
Day 2	Language Generation	566	1	8:00	
Day 2	Language Generation	416	2	8:00	
Day 2	Language Generation	87	3	8:00	
Day 2	Language Generation	1047	4	8:00	
Day 2	Semantics & Sentiment Analysis	3655-tacl	1	8:00	
Day 2	Semantics & Sentiment Analysis	892	2	8:00	
Day 2	Semantics & Sentiment Analysis	970	3	8:00	
Day 2	Semantics & Sentiment Analysis	294	4	8:00	
Day 2	Language Resources & Evaluation 2	589	1	8:00	
Day 2	Language Resources & Evaluation 2	901	2	8:00	
Day 2	Language Resources & Evaluation 2	457	3	8:00	
Day 2	Language Resources & Evaluation 2	162	4	8:00	
Day 2	Efficient Methods in NLP 2	1006	1	8:00	
Day 2	Efficient Methods in NLP 2	746	2	8:00	
Day 2	Efficient Methods in NLP 2	614	3	8:00	
Day 2	Efficient Methods in NLP 2	698	4	8:00	
Day 2	NLP Applications 2	636	1	8:00	
Day 2	NLP Applications 2	565	2	8:00	
Day 2	NLP Applications 2	610	3	8:00	
Day 2	NLP Applications 2	931	4	8:00	
Day 2	Interpretability and Analysis of Models for NLP 1	841	1	10:45	
Day 2	Interpretability and Analysis of Models for NLP 1	840	2	10:45	
Day 2	Interpretability and Analysis of Models for NLP 1	704	3	10:45	
Day 2	Interpretability and Analysis of Models for NLP 1	505	4	10:45	
Day 2	Interpretability and Analysis of Models for NLP 1	484	5	10:45	
Day 2	Interpretability and Analysis of Models for NLP 1	464	6	10:45	
Day 2	Summarization	591	1	10:45	
Day 2	Summarization	776	2	10:45	
Day 2	Summarization	490	3	10:45	
Day 2	Summarization	191	4	10:45	
Day 2	Summarization	346	5	10:45	
Day 2	Summarization	3477-tacl	6	10:45	
Day 2	Information Retrieval	40	1	10:45	
Day 2	Information Retrieval	465	2	10:45	
Day 2	Information Retrieval	580	3	10:45	
Day 2	Information Retrieval	605	4	10:45	
Day 2	Information Retrieval	690	5	10:45	
Day 2	Information Retrieval	832	6	10:45	
Day 2	Language Grounding to Vision 1	174	1	10:45	
Day 2	Language Grounding to Vision 1	527	2	10:45	
Day 2	Language Grounding to Vision 1	1043	3	10:45	
Day 2	Language Grounding to Vision 1	834	4	10:45	
Day 2	Language Grounding to Vision 1	318	5	10:45	
Day 2	Language Grounding to Vision 1	874	6	10:45	
Day 2	Dialogue and Interactive Systems 1	456	1	10:45	
Day 2	Dialogue and Interactive Systems 1	926	2	10:45	
Day 2	Dialogue and Interactive Systems 1	522	3	10:45	
Day 2	Dialogue and Interactive Systems 1	638	4	10:45	
Day 2	Dialogue and Interactive Systems 1	639	5	10:45	
Day 2	Dialogue and Interactive Systems 1	249	6	10:45	
Day 2	Ethics, Bias, Fairness 1	867	1	14:15	
Day 2	Ethics, Bias, Fairness 1	245	2	14:15	
Day 2	Ethics, Bias, Fairness 1	674	3	14:15	
Day 2	Ethics, Bias, Fairness 1	1015	4	14:15	
Day 2	Ethics, Bias, Fairness 1	568	5	14:15	
Day 2	Ethics, Bias, Fairness 1	512	6	14:15	
Day 2	Sentiment Analysis & Stylistic Analysis	28	1	14:15	
Day 2	Sentiment Analysis & Stylistic Analysis	981	2	14:15	
Day 2	Sentiment Analysis & Stylistic Analysis	785	3	14:15	
Day 2	Sentiment Analysis & Stylistic Analysis	561	4	14:15	
Day 2	Sentiment Analysis & Stylistic Analysis	488	5	14:15	
Day 2	Sentiment Analysis & Stylistic Analysis	880	6	14:15	
Day 2	Information Extraction 1	379	1	14:15	
Day 2	Information Extraction 1	3721-tacl	2	14:15	
Day 2	Information Extraction 1	991	3	14:15	
Day 2	Information Extraction 1	823	4	14:15	
Day 2	Information Extraction 1	988	5	14:15	
Day 2	Information Extraction 1	894	6	14:15	
Day 2	Human-Centered NLP 1	86-special	1	14:15	
Day 2	Human-Centered NLP 1	53-special	2	14:15	
Day 2	Human-Centered NLP 1	111-special	3	14:15	
Day 2	Human-Centered NLP 1	93-special	4	14:15	
Day 2	Human-Centered NLP 1	87-special	5	14:15	
Day 2	Human-Centered NLP 1	65-special	6	14:15	
Day 2	NLP Applications 3	964	1	14:15	
Day 2	NLP Applications 3	277	2	14:15	
Day 2	NLP Applications 3	1044	3	14:15	
Day 2	NLP Applications 3	474	4	14:15	
Day 2	NLP Applications 3	274	5	14:15	
Day 2	NLP Applications 3	244	6	14:15	
Day 2	Language Grounding to Vision 2	391	1	16:15	
Day 2	Language Grounding to Vision 2	825	2	16:15	
Day 2	Language Grounding to Vision 2	946	3	16:15	
Day 2	Language Grounding to Vision 2	960	4	16:15	
Day 2	Language Grounding to Vision 2	836	5	16:15	
Day 2	Language Grounding to Vision 2	164	6	16:15	
Day 2	Syntax: Tagging, Chunking and Parsing	0-cl	1	16:15	
Day 2	Syntax: Tagging, Chunking and Parsing	990	2	16:15	
Day 2	Syntax: Tagging, Chunking and Parsing	516	3	16:15	
Day 2	Syntax: Tagging, Chunking and Parsing	413	4	16:15	
Day 2	Syntax: Tagging, Chunking and Parsing	220	5	16:15	
Day 2	Syntax: Tagging, Chunking and Parsing	863	6	16:15	
Day 2	Multilinguality	878	1	16:15	Award
Day 2	Multilinguality	676	2	16:15	
Day 2	Multilinguality	662	3	16:15	
Day 2	Multilinguality	481	4	16:15	
Day 2	Multilinguality	256	5	16:15	
Day 2	Multilinguality	383	6	16:15	
Day 2	Machine Learning for NLP 1	966	1	16:15	
Day 2	Machine Learning for NLP 1	796	2	16:15	
Day 2	Machine Learning for NLP 1	851	3	16:15	
Day 2	Machine Learning for NLP 1	920	4	16:15	
Day 2	Machine Learning for NLP 1	956	5	16:15	
Day 2	Machine Learning for NLP 1	932	6	16:15	
Day 2	Question Answering 1	947	1	16:15	
Day 2	Question Answering 1	91	2	16:15	
Day 2	Question Answering 1	169	3	16:15	
Day 2	Question Answering 1	418	4	16:15	
Day 2	Question Answering 1	898	5	16:15	
Day 2	Question Answering 1	613	6	16:15	
Day 3	Interpretability and Analysis of Models for NLP 2	177	1	8:00	
Day 3	Interpretability and Analysis of Models for NLP 2	577	2	8:00	
Day 3	Interpretability and Analysis of Models for NLP 2	226	3	8:00	
Day 3	Interpretability and Analysis of Models for NLP 2	46	4	8:00	
Day 3	Summarization	719	1	8:00	
Day 3	Summarization	873	2	8:00	
Day 3	Summarization	985	3	8:00	
Day 3	Summarization	1024	4	8:00	
Day 3	Information Extraction 2	771	1	8:00	
Day 3	Information Extraction 2	700	2	8:00	
Day 3	Information Extraction 2	751	3	8:00	
Day 3	Information Extraction 2	1041	4	8:00	
Day 3	Machine Translation 2	999	1	8:00	
Day 3	Machine Translation 2	965	2	8:00	
Day 3	Machine Translation 2	907	3	8:00	
Day 3	Machine Translation 2	703	4	8:00	
Day 3	Dialogue and Interactive Systems 2	1001	1	8:00	
Day 3	Dialogue and Interactive Systems 2	80	2	8:00	
Day 3	Dialogue and Interactive Systems 2	861	3	8:00	
Day 3	Dialogue and Interactive Systems 2	519	4	8:00	
Day 3	Machine Learning for NLP 2	993	1	8:00	
Day 3	Machine Learning for NLP 2	3765-tacl	2	8:00	
Day 3	Machine Learning for NLP 2	843	3	8:00	
Day 3	Machine Learning for NLP 2	757	4	8:00	
Day 3	Interpretability and Analysis of Models for NLP 3	994	1	9:15	
Day 3	Interpretability and Analysis of Models for NLP 3	1035	2	9:15	
Day 3	Interpretability and Analysis of Models for NLP 3	1000	3	9:15	
Day 3	Interpretability and Analysis of Models for NLP 3	853	4	9:15	
Day 3	Computational Social Science and Cultural Analytics	882	1	9:15	
Day 3	Computational Social Science and Cultural Analytics	255	2	9:15	
Day 3	Computational Social Science and Cultural Analytics	1002	3	9:15	
Day 3	Computational Social Science and Cultural Analytics	1023	4	9:15	
Day 3	Machine Learning & Human-Centered NLP 2	3601-tacl	1	9:15	
Day 3	Machine Learning & Human-Centered NLP 2	3593-tacl	2	9:15	
Day 3	Machine Learning & Human-Centered NLP 2	34-special	3	9:15	
Day 3	Machine Learning & Human-Centered NLP 2	134-special	4	9:15	
Day 3	Machine Translation 3	835	1	9:15	
Day 3	Machine Translation 3	870	2	9:15	
Day 3	Machine Translation 3	884	3	9:15	
Day 3	Machine Translation 3	811	4	9:15	
Day 3	Dialogue and Interactive Systems 3	97	1	9:15	
Day 3	Dialogue and Interactive Systems 3	1010	2	9:15	
Day 3	Dialogue and Interactive Systems 3	233	3	9:15	
Day 3	Dialogue and Interactive Systems 3	833	4	9:15	
Day 3	Machine Learning for NLP 3	679	1	9:15	
Day 3	Machine Learning for NLP 3	517	2	9:15	
Day 3	Machine Learning for NLP 3	503	3	9:15	
Day 3	Machine Learning for NLP 3	962	4	9:15	
Day 3	Language Generation	686	1	10:45	Award
Day 3	Language Generation	634	2	10:45	
Day 3	Language Generation	126	3	10:45	
Day 3	Language Generation	955	4	10:45	
Day 3	Language Generation	673	5	10:45	
Day 3	Speech & Phonology, Morphology	158	1	10:45	
Day 3	Speech & Phonology, Morphology	772	2	10:45	
Day 3	Speech & Phonology, Morphology	247	3	10:45	
Day 3	Speech & Phonology, Morphology	129	4	10:45	
Day 3	Speech & Phonology, Morphology	61	5	10:45	
Day 3	Information Extraction 3	535	1	10:45	
Day 3	Information Extraction 3	184	2	10:45	
Day 3	Information Extraction 3	472	3	10:45	
Day 3	Information Extraction 3	574	4	10:45	
Day 3	Information Extraction 3	462	5	10:45	
Day 3	Information Extraction 3	845	6	10:45	
Day 3	Language Resources & Evaluation 3	699	1	10:45	
Day 3	Language Resources & Evaluation 3	371	2	10:45	
Day 3	Language Resources & Evaluation 3	26	3	10:45	Award
Day 3	Language Resources & Evaluation 3	1011	4	10:45	
Day 3	Language Resources & Evaluation 3	818	5	10:45	
Day 3	Language Resources & Evaluation 3	3519-tacl	6	10:45	
Day 3	NLP Applications 4	594	1	10:45	
Day 3	NLP Applications 4	398	2	10:45	
Day 3	NLP Applications 4	958	3	10:45	
Day 3	NLP Applications 4	928	4	10:45	
Day 3	NLP Applications 4	510	5	10:45	
Day 3	NLP Applications 4	155	6	10:45	
Day 3	Ethics, Bias, Fairness 2	524	1	14:15	
Day 3	Ethics, Bias, Fairness 2	511	2	14:15	
Day 3	Ethics, Bias, Fairness 2	172	3	14:15	
Day 3	Ethics, Bias, Fairness 2	774	4	14:15	
Day 3	Ethics, Bias, Fairness 2	495	5	14:15	
Day 3	Ethics, Bias, Fairness 2	151	6	14:15	
Day 3	Semantics 	515	1	14:15	
Day 3	Semantics 	950	2	14:15	
Day 3	Semantics 	606	3	14:15	
Day 3	Semantics 	936	4	14:15	
Day 3	Semantics 	483	5	14:15	
Day 3	Semantics 	729	6	14:15	
Day 3	Linguistic Theories, Cognitive Modeling, Discourse	875	1	14:15	
Day 3	Linguistic Theories, Cognitive Modeling, Discourse	826	2	14:15	
Day 3	Linguistic Theories, Cognitive Modeling, Discourse	684	3	14:15	
Day 3	Linguistic Theories, Cognitive Modeling, Discourse	607	4	14:15	
Day 3	Linguistic Theories, Cognitive Modeling, Discourse	471	5	14:15	
Day 3	Linguistic Theories, Cognitive Modeling, Discourse	2	6	14:15	
Day 3	Machine Learning 4	496	1	14:15	
Day 3	Machine Learning 4	846	2	14:15	
Day 3	Machine Learning 4	959	3	14:15	
Day 3	Machine Learning 4	266	4	14:15	
Day 3	Machine Learning 4	308	5	14:15	
Day 3	Machine Learning 4	152	6	14:15	
Day 3	Question Answering 2	506	1	14:15	
Day 3	Question Answering 2	553	2	14:15	
Day 3	Question Answering 2	240	3	14:15	
Day 3	Question Answering 2	451	4	14:15	
Day 3	Question Answering 2	454	5	14:15	
Day 3	Question Answering 2	3639-tacl	6	14:15	